port,protocol
1,TCPMUX
5,RJE
7,ECHO
9,DISCARD
11,SYSTAT
13,DAYTIME
17,QOTD
18,MSP
19,CHARGEN
20,FTP-DATA
21,FTP
22,SSH
23,TELNET
25,SMTP
26,RSFTP
37,TIME
42,WINS
43,WHOIS
49,TACACS
53,DNS
57,MTP
67,DHCP
68,DHCP
69,TFTP
70,GOPHER
79,FINGER
80,HTTP
88,KERBEROS
101,HOSTNAME
102,TSAP
107,RTELNET
109,POP2
110,POP3
111,SUNRPC
113,IDENT
115,SFTP
117,UUCP
118,SQL
119,NNTP
123,NTP
135,EPMAP
137,NETBIOS-NS
138,NETBIOS-DGM
139,NETBIOS-SSN
143,IMAP
161,SNMP
162,SNMPTRAP
170,PRINT-SRV
179,BGP
194,IRC
209,QMTP
213,IPX
220,IMAP3
264,BGMP
311,APPLE-ADMIN
318,TSP
366,ODMR
389,LDAP
401,UPS
427,SLP
443,HTTPS
444,SNPP
445,SMB
464,KERBEROS-CHG
465,SMTPS
500,ISAKMP
502,MODBUS
512,REXEC
513,RLOGIN
514,SYSLOG
515,LPD
517,TALK
518,NTALK
520,RIP
521,RIPNG
524,NCP
530,RPC
531,AIM
532,NETNEWS
533,NETWALL
540,UUCP
543,KLOGIN
544,KSHELL
546,DHCPV6
547,DHCPV6
548,AFP
554,RTSP
563,NNTPS
587,SMTP-SUBMISSION
591,FILEMAKER
601,SYSLOG-MGMT
604,TUNNEL
623,IPMI
631,IPP
636,LDAPS
639,MSDP
646,LDP
647,DHCP-FO
666,DOOM
674,ACAP
694,HA-HEARTBEAT
698,OLSR
700,EPP
706,SILC
711,TDP
749,KERBEROS-ADM
750,KERBEROS-IV
830,NETCONF-SSH
831,NETCONF-BEEP
853,DNS-TLS
860,ISCSI
873,RSYNC
901,SWAT
902,VMWARE
981,CHECKPOINT-FW
989,FTPS-DATA
990,FTPS
992,TELNETS
993,IMAPS
995,POP3S
1025,MSRPC
1080,SOCKS
1194,OPENVPN
1241,NESSUS
1311,DELL-OPENMANAGE
1433,MSSQL
1434,MSSQL-MONITOR
1494,CITRIX-ICA
1512,WINS
1524,INGRES
1589,CISCO-VQP
1701,L2TP
1719,H323
1720,H323
1723,PPTP
1725,STEAM
1755,MSMEDIA
1812,RADIUS
1813,RADIUS-ACCT
1883,MQTT
1900,SSDP
1985,HSRP
2000,CISCO-SCCP
2049,NFS
2082,CPANEL
2083,CPANEL-SSL
2181,ZOOKEEPER
2222,DIRECTADMIN
2375,DOCKER
2376,DOCKER-TLS
2377,DOCKER-SWARM
2379,ETCD
2380,ETCD-PEER
2401,CVS
2483,ORACLE
2484,ORACLE-SSL
3128,HTTP-PROXY
3260,ISCSI
3268,LDAP-GC
3269,LDAPS-GC
3306,MYSQL
3389,RDP
3478,STUN
3479,STUN
3689,DAAP
3690,SVN
4369,EPMD
4500,IPSEC-NAT
4505,SALTSTACK
4506,SALTSTACK
4789,VXLAN
5000,UPNP
5004,RTP
5044,LOGSTASH
5060,SIP
5061,SIPS
5222,XMPP
5223,XMPP-SSL
5353,MDNS
5355,LLMNR
5432,POSTGRESQL
5601,KIBANA
5671,AMQPS
5672,AMQP
5683,COAP
5684,COAPS
5800,VNC-HTTP
5900,VNC
5985,WINRM
5986,WINRM-TLS
6000,X11
6343,SFLOW
6379,REDIS
6380,REDIS-TLS
6443,KUBERNETES-API
6514,SYSLOG-TLS
7946,DOCKER-SWARM-GOSSIP
8080,HTTP-ALT
8088,SPLUNK-HEC
8125,STATSD
8140,PUPPET
8161,ACTIVEMQ
8200,VAULT
8300,CONSUL-RPC
8301,CONSUL-GOSSIP
8302,CONSUL-GOSSIP
8443,HTTPS-ALT
8472,VXLAN
8500,CONSUL-HTTP
8600,CONSUL-DNS
8883,MQTT-TLS
9000,SONARQUBE
9042,CASSANDRA
9090,PROMETHEUS
9091,PROMETHEUS-PUSHGW
9092,KAFKA
9093,KAFKA-TLS
9100,NODE-EXPORTER
9200,ELASTICSEARCH
9300,ELASTICSEARCH
9411,ZIPKIN
9600,LOGSTASH-MONITOR
10250,KUBELET
10255,KUBELET-RO
10256,KUBE-PROXY
10257,KUBE-CONTROLLER
10259,KUBE-SCHEDULER
11211,MEMCACHED
13720,NETBACKUP
13721,NETBACKUP
15672,RABBITMQ-MGMT
15692,RABBITMQ-METRICS
16443,MICROK8S-API
25565,MINECRAFT
27017,MONGODB
27018,MONGODB
27019,MONGODB
28015,RETHINKDB
29015,RETHINKDB
32400,PLEX
33434,TRACEROUTE
